connector,function,model,runs,ticks,time.ms,max.memory.used.b
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,400,100,9918,3082493952
nl4py,runExperiment,Wolf Sheep Predation,400,100,6770,3148140544
pynetlogo,repeat_report,Wolf Sheep Predation,400,100,14735,17807405056
nl4py,scheduleReportersAndRun,Fire,600,100,12268,4156825600
nl4py,runExperiment,Fire,600,100,11113,4058075136
pynetlogo,repeat_report,Fire,600,100,16772,20333203456
nl4py,scheduleReportersAndRun,Ethnocentrism,600,1000,298321,45475766272
nl4py,runExperiment,Ethnocentrism,600,1000,293303,43827544064
pynetlogo,repeat_report,Ethnocentrism,600,1000,279105,84501299200
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,600,100,12622,4320780288
nl4py,runExperiment,Wolf Sheep Predation,600,100,8476,4173094912
pynetlogo,repeat_report,Wolf Sheep Predation,600,100,16811,21382750208
nl4py,scheduleReportersAndRun,Fire,800,100,13800,4807315456
nl4py,runExperiment,Fire,800,100,12371,4127707136
pynetlogo,repeat_report,Fire,800,100,17968,22090858496
nl4py,scheduleReportersAndRun,Ethnocentrism,800,1000,397939,45422161920
nl4py,runExperiment,Ethnocentrism,800,1000,380526,43886891008
pynetlogo,repeat_report,Ethnocentrism,800,1000,367981,89340473344
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,800,100,14987,5011218432
nl4py,runExperiment,Wolf Sheep Predation,800,100,9526,4519567360
pynetlogo,repeat_report,Wolf Sheep Predation,800,100,18831,21782736896
nl4py,scheduleReportersAndRun,Fire,1000,100,15760,5013114880
nl4py,runExperiment,Fire,1000,100,13735,4321665024
pynetlogo,repeat_report,Fire,1000,100,19341,22464995328
nl4py,scheduleReportersAndRun,Ethnocentrism,1000,1000,489040,45536817152
nl4py,runExperiment,Ethnocentrism,1000,1000,488344,43924807680
pynetlogo,repeat_report,Ethnocentrism,1000,1000,450358,91186700288
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,1000,100,17656,5910716416
nl4py,runExperiment,Wolf Sheep Predation,1000,100,11228,5295599616
pynetlogo,repeat_report,Wolf Sheep Predation,1000,100,20840,23753555968
